observation_date,NGMP31080
2001-01-01,518158.072
2002-01-01,538315.983
2003-01-01,568731.194
2004-01-01,600491.830
2005-01-01,636269.224
2006-01-01,678566.725
2007-01-01,703024.123
2008-01-01,720131.082
2009-01-01,692752.202
2010-01-01,717683.468
2011-01-01,740339.476
2012-01-01,770420.955
2013-01-01,802019.320
2014-01-01,837562.137
2015-01-01,889382.832
2016-01-01,918198.895
2017-01-01,965279.922
2018-01-01,1011441.224
2019-01-01,1065709.665
2020-01-01,1035818.839
2021-01-01,1136155.497
2022-01-01,1235919.800
2023-01-01,1295361.403
